source,target,date,year,month,day,hour,minute,second
1,2,2004-04-15 14:56:01,2004,4,15,14,56,1
3,4,2004-04-16 22:50:39,2004,4,16,22,50,39
5,2,2004-04-19 22:39:51,2004,4,19,22,39,51
6,7,2004-04-20 05:40:19,2004,4,20,5,40,19
8,7,2004-04-20 05:42:36,2004,4,20,5,42,36
9,10,2004-04-20 05:53:23,2004,4,20,5,53,23
9,11,2004-04-20 05:54:13,2004,4,20,5,54,13
12,13,2004-04-20 06:06:28,2004,4,20,6,6,28
9,14,2004-04-20 06:15:54,2004,4,20,6,15,54
9,15,2004-04-20 06:17:04,2004,4,20,6,17,4
9,16,2004-04-20 06:18:15,2004,4,20,6,18,15
9,17,2004-04-20 06:22:33,2004,4,20,6,22,33
9,14,2004-04-20 06:25:28,2004,4,20,6,25,28
9,18,2004-04-20 06:29:20,2004,4,20,6,29,20
19,18,2004-04-20 06:37:03,2004,4,20,6,37,3
20,21,2004-04-20 07:09:04,2004,4,20,7,9,4
19,22,2004-04-20 08:34:34,2004,4,20,8,34,34
8,23,2004-04-20 08:37:23,2004,4,20,8,37,23
9,24,2004-04-20 08:44:05,2004,4,20,8,44,5
9,22,2004-04-20 08:44:16,2004,4,20,8,44,16
25,21,2004-04-20 13:18:09,2004,4,20,13,18,9
26,7,2004-04-20 17:12:05,2004,4,20,17,12,5
27,28,2004-04-20 19:44:00,2004,4,20,19,44,0
29,25,2004-04-20 23:34:43,2004,4,20,23,34,43
30,31,2004-04-21 03:18:26,2004,4,21,3,18,26
30,31,2004-04-21 03:18:31,2004,4,21,3,18,31
30,31,2004-04-21 03:18:33,2004,4,21,3,18,33
30,31,2004-04-21 03:18:36,2004,4,21,3,18,36
32,33,2004-04-21 03:27:03,2004,4,21,3,27,3
34,35,2004-04-21 05:32:10,2004,4,21,5,32,10
34,33,2004-04-21 05:35:18,2004,4,21,5,35,18
36,37,2004-04-21 07:02:29,2004,4,21,7,2,29
38,39,2004-04-21 09:14:09,2004,4,21,9,14,9
36,40,2004-04-21 09:25:57,2004,4,21,9,25,57
41,15,2004-04-21 09:38:25,2004,4,21,9,38,25
41,11,2004-04-21 09:39:14,2004,4,21,9,39,14
41,14,2004-04-21 09:41:02,2004,4,21,9,41,2
41,13,2004-04-21 09:41:36,2004,4,21,9,41,36
41,39,2004-04-21 09:57:22,2004,4,21,9,57,22
41,42,2004-04-21 19:03:31,2004,4,21,19,3,31
41,43,2004-04-21 19:39:04,2004,4,21,19,39,4
9,40,2004-04-21 21:41:40,2004,4,21,21,41,40
44,45,2004-04-21 22:11:08,2004,4,21,22,11,8
46,22,2004-04-21 22:48:25,2004,4,21,22,48,25
44,46,2004-04-21 22:57:02,2004,4,21,22,57,2
47,46,2004-04-21 23:01:48,2004,4,21,23,1,48
48,46,2004-04-21 23:18:03,2004,4,21,23,18,3
9,49,2004-04-22 01:15:55,2004,4,22,1,15,55
36,50,2004-04-22 01:35:15,2004,4,22,1,35,15
44,51,2004-04-22 01:35:51,2004,4,22,1,35,51
32,52,2004-04-22 01:40:56,2004,4,22,1,40,56
36,32,2004-04-22 01:42:02,2004,4,22,1,42,2
53,54,2004-04-22 01:46:35,2004,4,22,1,46,35
36,55,2004-04-22 01:49:05,2004,4,22,1,49,5
56,57,2004-04-22 01:49:08,2004,4,22,1,49,8
36,32,2004-04-22 01:51:25,2004,4,22,1,51,25
36,58,2004-04-22 01:52:45,2004,4,22,1,52,45
44,59,2004-04-22 01:55:20,2004,4,22,1,55,20
51,58,2004-04-22 01:55:34,2004,4,22,1,55,34
44,14,2004-04-22 01:57:52,2004,4,22,1,57,52
36,56,2004-04-22 02:02:56,2004,4,22,2,2,56
36,60,2004-04-22 02:08:37,2004,4,22,2,8,37
56,61,2004-04-22 02:14:28,2004,4,22,2,14,28
62,50,2004-04-22 02:20:09,2004,4,22,2,20,9
36,60,2004-04-22 02:26:27,2004,4,22,2,26,27
32,59,2004-04-22 02:37:35,2004,4,22,2,37,35
36,60,2004-04-22 02:44:32,2004,4,22,2,44,32
36,50,2004-04-22 02:45:13,2004,4,22,2,45,13
41,63,2004-04-22 02:56:59,2004,4,22,2,56,59
41,64,2004-04-22 02:57:48,2004,4,22,2,57,48
41,65,2004-04-22 02:58:02,2004,4,22,2,58,2
41,56,2004-04-22 02:58:20,2004,4,22,2,58,20
41,61,2004-04-22 02:59:21,2004,4,22,2,59,21
41,43,2004-04-22 02:59:38,2004,4,22,2,59,38
41,52,2004-04-22 03:00:07,2004,4,22,3,0,7
41,58,2004-04-22 03:00:38,2004,4,22,3,0,38
41,59,2004-04-22 03:04:28,2004,4,22,3,4,28
9,64,2004-04-22 03:05:24,2004,4,22,3,5,24
9,58,2004-04-22 03:06:19,2004,4,22,3,6,19
12,66,2004-04-22 03:06:59,2004,4,22,3,6,59
32,58,2004-04-22 03:07:46,2004,4,22,3,7,46
12,66,2004-04-22 03:07:48,2004,4,22,3,7,48
67,32,2004-04-22 03:11:54,2004,4,22,3,11,54
41,32,2004-04-22 03:12:51,2004,4,22,3,12,51
67,32,2004-04-22 03:14:09,2004,4,22,3,14,9
32,68,2004-04-22 03:14:41,2004,4,22,3,14,41
68,56,2004-04-22 03:17:30,2004,4,22,3,17,30
67,32,2004-04-22 03:17:48,2004,4,22,3,17,48
67,32,2004-04-22 03:19:59,2004,4,22,3,19,59
68,61,2004-04-22 03:20:18,2004,4,22,3,20,18
67,32,2004-04-22 03:21:19,2004,4,22,3,21,19
67,8,2004-04-22 03:31:36,2004,4,22,3,31,36
69,67,2004-04-22 03:43:10,2004,4,22,3,43,10
70,51,2004-04-22 04:12:47,2004,4,22,4,12,47
44,50,2004-04-22 04:14:49,2004,4,22,4,14,49
67,32,2004-04-22 04:32:34,2004,4,22,4,32,34
71,58,2004-04-22 04:33:25,2004,4,22,4,33,25
71,72,2004-04-22 04:34:41,2004,4,22,4,34,41
51,58,2004-04-22 04:35:09,2004,4,22,4,35,9
72,71,2004-04-22 04:47:29,2004,4,22,4,47,29
73,74,2004-04-22 04:54:09,2004,4,22,4,54,9
74,73,2004-04-22 04:55:19,2004,4,22,4,55,19
